ID,ID_only,Population,Species,B1,B2,B3,S1U,S1V,S1B,S1G,S1Y,S1R,S2,S3,S4,S5,S6,S7,S8,S9,S10,H1,H2,ID_only,H3,H4,H5
UC20RR03_Mannar_creast,UC20RR03,Mannar,D.benghalense,3075.538357,7.669671712,23.35945455,0.052339088,0.059968383,0.092672163,0.208152111,0.271715798,0.653652823,206.1128342,0.371184024,0.575558559,1887.923171,23.24612121,-0.401785339,3.030914762,0.881908392,1.744468931,700,386,UC20RR03,594,0.23529129,441
UC20RR06_Mannar__crown,UC20RR06,Mannar,D.benghalense,4167.67534,10.39320534,19.87112121,0.196493948,0.225334516,0.200033433,0.19360905,0.199719411,0.41690779,2.978880853,0.234893021,0.251340591,1041.711225,13.20045455,0.149971625,1.270104276,0.623456912,0.319228759,700,419,UC20RR06,602,-0.007645322,597
UC20RR07_Mannar_creast,UC20RR07,Mannar,D.benghalense,2262.194325,5.641382356,16.3575,0.111054209,0.126819817,0.10706613,0.171305099,0.234212279,0.617375018,13.25741479,0.374013483,0.670178679,1230.302315,15.12366216,-0.272841681,2.680843312,0.882776307,1.796644029,697,418,UC20RR07,600,0.090343214,432
UC19RR02_Mannar_creast,UC19RR02,Mannar,D.benghalense,3012.261703,7.511874571,20.81990909,0.074033958,0.082945239,0.114992207,0.224814337,0.262537699,0.592976454,27.67742831,0.338410626,0.81907007,1608.082137,20.06767486,-0.279515208,2.671460321,0.849060073,2.188113193,700,421,UC19RR02,593,0.271132778,417
UC19RR03_Mannar_creast,UC19RR03,Mannar,D.benghalense,3603.97998,8.987481248,26.64315152,0.093146562,0.102098502,0.094107129,0.174183071,0.244621107,0.645154033,29.69515339,0.366778288,0.723252252,2118.474004,25.74592929,-0.355248347,2.86464345,0.877643493,2.071859827,700,354,UC19RR03,597,0.116589612,434
UC20RR02_Mannar_creat,UC20RR02,Mannar,D.benghalense,3928.306399,9.79627531,22.39533333,0.147831498,0.167278651,0.149450083,0.210732431,0.234296575,0.498912851,4.950612508,0.281800258,0.182972222,1524.366639,17.87158333,-0.060378563,1.824324324,0.769214486,0.333800676,700,406,UC20RR02,596,0.151727415,594
UC20RR05_Mannar_creast,UC20RR05,Mannar,D.benghalense,4305.591599,10.73713616,29.796,0.128307319,0.145156808,0.122360102,0.160760173,0.215795385,0.595033215,6.705524924,0.355824778,0.149619048,2167.606565,25.3525,-0.194071742,2.361197588,0.8363575,0.353280134,698,517,UC20RR05,604,0.047964383,598
UC12RR02_SymR_creast,UC12RR02,SymR,D.psarodes,2223.250768,5.544266255,16.04869697,0.122081544,0.139602018,0.120706589,0.162312822,0.21464949,0.601098804,11.82275454,0.350720264,0.698370621,1136.56093,14.69125553,-0.206191861,2.649810607,0.839511604,1.850549878,700,390,UC12RR02,604,0.062957376,402
UC14RR04_SymR_creast,UC14RR04,SymR,D.psarodes,6146.764162,15.32858893,22.00829293,0.296314215,0.343645617,0.234125051,0.163971249,0.1575083,0.312861104,2.613719865,0.19302992,0.848296296,1029.260289,13.58799769,0.371796359,0.886448045,0.509403191,0.751970593,695,420,UC14RR04,604,-0.88385852,424
UC29RR01_SymR_creast,UC29RR01,SymR,D.psarodes,4227.651844,10.54277268,28.06072727,0.130790755,0.146604904,0.124874021,0.173889901,0.223906948,0.576782092,9.727272443,0.330525484,0.67803003,2050.358123,25.17597952,-0.188894737,2.387984669,0.826289447,1.619125317,700,418,UC29RR01,600,0.073201577,601
UE07RR05_SymR_creast,UE07RR05,SymR,D.psarodes,2793.057413,6.965230455,21.83833333,0.086541828,0.098864387,0.098645653,0.160533941,0.227775101,0.660632394,28.53743098,0.397446954,0.717912913,1666.527906,21.07308108,-0.350644673,3.025467889,0.889948128,2.172022465,698,415,UE07RR05,601,0.106998002,362
UC14RR01_SymR_creast,UC14RR01,SymR,D.psarodes,2370.488604,5.911442904,18.0335,0.115105338,0.13028753,0.107574712,0.150132112,0.215175564,0.63346445,8.61453878,0.383738341,0.187809524,1316.432813,15.94012037,-0.262741996,2.69648555,0.871291257,0.506425667,698,517,UC14RR01,605,0.044579613,597
UC27RR01_SymR_creast,UC27RR01,SymR,D.psarodes,4509.181096,11.24484064,30.83916667,0.134373291,0.152688876,0.132868558,0.156946849,0.204663568,0.582147466,6.072909921,0.350416316,0.17868018,2160.720385,25.76101351,-0.152568696,2.290918506,0.824038008,0.409341731,698,418,UC27RR01,606,0.034175514,604
UE02RR01_SymY_creast,UE02RR01,SymY,D.benghalense,4185.326481,10.43722314,28.71033333,0.129450487,0.147263343,0.126938822,0.165120985,0.216223967,0.585020478,7.661518674,0.350235678,0.706097914,2049.295192,24.96299099,-0.181787915,2.391727248,0.834636114,1.68879362,698,305,UE02RR01,603,0.058030124,398
UE07RR02_SymY_creast,UE07RR02,SymY,D.benghalense,8665.156961,21.60887023,32.35405556,0.32302334,0.375088837,0.24036685,0.145102972,0.13976234,0.298782084,3.129200491,0.291166218,1.379740741,1679.855617,22.01465556,0.42843535,1.018778646,0.509178874,1.405650404,418,427,UE07RR02,610,-1.125812769,472
UE09RR02_SymY_creast,UE09RR02,SymY,D.benghalense,4222.965258,10.53108543,31.05015152,0.123284618,0.141428272,0.11352453,0.149334505,0.210976057,0.620304113,8.597930301,0.361689214,0.614086297,2262.001519,27.43879966,-0.236557898,2.605505372,0.872665976,1.600005145,700,305,UE09RR02,605,0.031172863,349
UC28RR01_SymY_creast,UC28RR01,SymY,D.benghalense,4847.064897,12.08744363,26.86983333,0.152374756,0.17563813,0.171710208,0.198214589,0.217839498,0.484674498,4.355666723,0.280043911,0.174916667,1693.098492,20.7008964,0.005737812,1.712595072,0.721257166,0.299561421,699,416,UC28RR01,601,0.125993585,604
UE07RR04_SymY_creast,UE07RR04,SymY,D.benghalense,3669.398742,9.150620305,19.8975,0.151333966,0.174811169,0.172764428,0.209888159,0.22576265,0.473074354,4.437947793,0.277474199,0.219157407,1245.618582,15.41400877,0.000990385,1.684476927,0.711315006,0.369165596,698,410,UE07RR04,597,0.167554069,595
UE09RR01_SymY_creast,UE09RR01,SymY,D.benghalense,3672.23333,9.157689103,25.5795625,0.106942187,0.125101118,0.131588162,0.179168368,0.222072982,0.588883485,10.96131535,0.360488948,0.887012802,1815.055671,23.24594088,-0.197269128,2.538406864,0.827131416,2.251599386,697,305,UE09RR01,602,0.13517367,390
